id,title,servings,ingredients
1,"Boller i karry",4,"300g hakket grise- og kalvekød, 1 tsk groft salt, 1 finthakket løg, 2 finthakket fed hvidløg, friskkværnet peber, 1 æg, 1 spsk hvedemel, 1 dl mælk, 20g smør, 3 tsk karry, 3 spsk hvedemel, 2 tsk hønsebouillon-pulver, 2 dl mælk, 1 æble i tern, 4 dl løse ris, 2 røde æbler, 200g romainesalat, 100g slikærter, 1 løg"
2,"Kylling i karry",4,"500g kyllingeinderfilet, smør, karry, løg, grøntsager, mel, bouillon, mælk, salt, peber, æbletern, ris"
3,"Spaghetti Carbonara",4,"125g bacon, 1/4 liter madlavningsfløde, 1/2 tsk groft salt, 1/2 tsk friskkværnet peber, 2 æg, 150g revet ost, 3 liter vand, 1 spsk groft salt, 400g tørret spaghetti"
4,"Æggekage",4,"8 æg, 2 dl mælk, salt, peber, smør, kartofler, løg, bacon"
5,"Stuvet spidskål",4,"1 spidskål, smør, mel, mælk, salt, peber, muskatnød"
6,"Mørbradgryde",4,"600g svinemørbrad, smør, løg, champignon, fløde, bouillon, salt, peber"
7,"Frikadeller",4,"500g hakket svinekød, æg, mel, løg, mælk, salt, peber, smør til stegning"
8,"Hokkaidosuppe",4,"1 hokkaidogræskar, løg, ingefær, grøntsagsbouillon, kokosmælk, salt, peber"
9,"Moussaka",4,"auberginer, hakket lam, løg, hvidløg, tomater, bechamelsauce, ost, olivenolie"
10,"Skipperlabskovs",4,"oksekød, kartofler, løg, gulerødder, peber, salt, bouillon"
11,"Porretærte",4,"tærtedej, porrer, æg, fløde, ost, salt, peber, muskatnød"
12,"Chili sin carne",4,"kidneybønner, sorte bønner, løg, peberfrugt, tomater, chili, kommen, paprika"
13,"Orzo gryde med svampe",4,"orzo pasta, svampe, løg, hvidløg, grøntsagsbouillon, vin, ost, persille"
14,"Koteletter i fad",4,"svinekoteletter, kartofler, løg, fløde, bouillon, salt, peber"
15,"Hakkebøffer med bløde løg",4,"hakket oksekød, løg, æg, rasp, salt, peber, smør"
16,"Butter chicken",4,"kylling, smør, løg, hvidløg, ingefær, tomater, fløde, garam masala, yoghurt"
17,"Kyllingelår i airfryer",4,"kyllingelår, olivenolie, salt, peber, paprika, rosmarin, timian"
18,"Pastaret med spinat og champignon",4,"pasta, spinat, champignoner, fløde, hvidløg, parmesan, salt, peber"
19,"Biksemad",4,"kogte kartofler, røget kød, løg, æg, smør, salt, peber"
20,"Karrysuppe",4,"løg, karry, kokosmælk, grøntsagsbouillon, grøntsager, salt, peber"
21,"Teriyaki nudler",4,"nudler, kylling, teriyakisauce, grøntsager, sesamolie, forårsløg"
22,"Porresuppe",4,"porrer, kartofler, grøntsagsbouillon, fløde, smør, salt, peber"
23,"Panang karry",4,"kylling, panang karrypasta, kokosmælk, fiskesauce, sukker, basilikum"
24,"Pasta med broccolicreme",4,"pasta, broccoli, fløde, hvidløg, parmesan, salt, peber, nødder"
25,"Hytteostlasagne",4,"lasagneplader, hytteost, kødsauce, bechamelsauce, ost, spinat"
26,"Kylling i stegeso",4,"hel kylling, kartofler, gulerødder, løg, rosmarin, timian, salt, peber"
27,"Kålsalat",4,"hvidkål, gulerødder, mayonnaise, eddike, sukker, salt, peber"
28,"Kartoffelsuppe",4,"kartofler, porrer, grøntsagsbouillon, fløde, persille, salt, peber"
29,"Pastasauce med røde linser",4,"røde linser, løg, hvidløg, tomater, grøntsagsbouillon, krydderier, pasta"
30,"Biryani",4,"basmatiris, kylling, løg, yoghurt, garam masala, safran, nødder, rosiner"
